plink_id,author,year,venue,title,section_name,context_left,match,context_right,tag
0a8d8a34-ec0a-3b37-b526-0952453e3a23,"Larsen, Kai R. ; Lukyanenko, Roman ; C. Storey, Veda ; Parsons, Jeffrey ; VanderMeer, Debra ; Hovorka, Dirk S.",2025,MISQ,VALIDITY IN DESIGN SCIENCE.,Design Science Artifact and Comparison Entities,"in developing material artifacts such as shower meters . Often, there are two separate but related artifacts-the",theory,"(e.g., design propositions) and the material artifact generated from it (e.g., the shower",
0a8d8a34-ec0a-3b37-b526-0952453e3a23,"Larsen, Kai R. ; Lukyanenko, Roman ; C. Storey, Veda ; Parsons, Jeffrey ; VanderMeer, Debra ; Hovorka, Dirk S.",2025,MISQ,VALIDITY IN DESIGN SCIENCE.,Design Science Artifact and Comparison Entities,"the major types of artifacts produced by design scienceconstructs, models, methods, instantiations, and design",theories,", along with existing natural objects that can be used as criteria (vom Brocke et al.,",
0a8d8a34-ec0a-3b37-b526-0952453e3a23,"Larsen, Kai R. ; Lukyanenko, Roman ; C. Storey, Veda ; Parsons, Jeffrey ; VanderMeer, Debra ; Hovorka, Dirk S.",2025,MISQ,VALIDITY IN DESIGN SCIENCE.,Criterion instance,"criterion instance serves as a reasonable standard for comparison.Instantiations operationalize constructs, models, methods, and design",theories,"into material solutions (e.g., apps, platforms, enterprise systems).Criterion instances are used to",
0a8d8a34-ec0a-3b37-b526-0952453e3a23,"Larsen, Kai R. ; Lukyanenko, Roman ; C. Storey, Veda ; Parsons, Jeffrey ; VanderMeer, Debra ; Hovorka, Dirk S.",2025,MISQ,VALIDITY IN DESIGN SCIENCE.,Theory (and its components: constructs and design principles),"A system of concepts intended to explain, predict, or guide action.Design",theories,"and their components (e.g., constructs, design principles) and non-design theories (e.g., theories",
0a8d8a34-ec0a-3b37-b526-0952453e3a23,"Larsen, Kai R. ; Lukyanenko, Roman ; C. Storey, Veda ; Parsons, Jeffrey ; VanderMeer, Debra ; Hovorka, Dirk S.",2025,MISQ,VALIDITY IN DESIGN SCIENCE.,Theory (and its components: constructs and design principles),", or guide action.Design theories and their components (e.g., constructs, design principles) and non-design",theories,"(e.g., theories of explanation and prediction), which can provide designrelevant knowledge for focal artifacts",
0a8d8a34-ec0a-3b37-b526-0952453e3a23,"Larsen, Kai R. ; Lukyanenko, Roman ; C. Storey, Veda ; Parsons, Jeffrey ; VanderMeer, Debra ; Hovorka, Dirk S.",2025,MISQ,VALIDITY IN DESIGN SCIENCE.,Theory (and its components: constructs and design principles),"theories and their components (e.g., constructs, design principles) and non-design theories (e.g.,",theories,"of explanation and prediction), which can provide designrelevant knowledge for focal artifacts.",
0a8d8a34-ec0a-3b37-b526-0952453e3a23,"Larsen, Kai R. ; Lukyanenko, Roman ; C. Storey, Veda ; Parsons, Jeffrey ; VanderMeer, Debra ; Hovorka, Dirk S.",2025,MISQ,VALIDITY IN DESIGN SCIENCE.,Validity Types,in the evaluation because: the reference artifact does not produce outputs (as is the case for,theories,", models, and methods); the output is not directly comparable to the reference entity (",
0a8d8a34-ec0a-3b37-b526-0952453e3a23,"Larsen, Kai R. ; Lukyanenko, Roman ; C. Storey, Veda ; Parsons, Jeffrey ; VanderMeer, Debra ; Hovorka, Dirk S.",2025,MISQ,VALIDITY IN DESIGN SCIENCE.,Validity Types,"organization to estimate the savings realized by implementing the system versus continuing with the current business process.Similarly,",theory,validity addresses the extent to which claims about a focal artifact relative to a theory artifact are supported,
0a8d8a34-ec0a-3b37-b526-0952453e3a23,"Larsen, Kai R. ; Lukyanenko, Roman ; C. Storey, Veda ; Parsons, Jeffrey ; VanderMeer, Debra ; Hovorka, Dirk S.",2025,MISQ,VALIDITY IN DESIGN SCIENCE.,Validity Types,"business process.Similarly, theory validity addresses the extent to which claims about a focal artifact relative to a",theory,"artifact are supported . For example, Lukyanenko et al . (2019) developed a citizen science",
0a8d8a34-ec0a-3b37-b526-0952453e3a23,"Larsen, Kai R. ; Lukyanenko, Roman ; C. Storey, Veda ; Parsons, Jeffrey ; VanderMeer, Debra ; Hovorka, Dirk S.",2025,MISQ,VALIDITY IN DESIGN SCIENCE.,Validity Types,developed a citizen science platform with design features that they claimed corresponded to relevant principles from a design,theory.Criterion,model validity (model validity) is the extent to which a focal artifact is consistent with a,
0a8d8a34-ec0a-3b37-b526-0952453e3a23,"Larsen, Kai R. ; Lukyanenko, Roman ; C. Storey, Veda ; Parsons, Jeffrey ; VanderMeer, Debra ; Hovorka, Dirk S.",2025,MISQ,VALIDITY IN DESIGN SCIENCE.,Theory validity,characteristics of a focal artifact are supported through evaluation of its characteristics compared to the characteristics of a,theory,reference entity argued to represent a standard.,
0a8d8a34-ec0a-3b37-b526-0952453e3a23,"Larsen, Kai R. ; Lukyanenko, Roman ; C. Storey, Veda ; Parsons, Jeffrey ; VanderMeer, Debra ; Hovorka, Dirk S.",2025,MISQ,VALIDITY IN DESIGN SCIENCE.,Ecological validity,"by March and Smith (1995) and Gregor and Hevner (2013): instantiations, design",theory,", methods, and models . For each of these artifact types, Table 5 presents a sample",
0a8d8a34-ec0a-3b37-b526-0952453e3a23,"Larsen, Kai R. ; Lukyanenko, Roman ; C. Storey, Veda ; Parsons, Jeffrey ; VanderMeer, Debra ; Hovorka, Dirk S.",2025,MISQ,VALIDITY IN DESIGN SCIENCE.,Model validity,", analytic and machine learning modeling, data science, business process change, simulation, and design",theory,. We specifically invited participants across a broad spectrum to include participants across design science as a whole,
0a8d8a34-ec0a-3b37-b526-0952453e3a23,"Larsen, Kai R. ; Lukyanenko, Roman ; C. Storey, Veda ; Parsons, Jeffrey ; VanderMeer, Debra ; Hovorka, Dirk S.",2025,MISQ,VALIDITY IN DESIGN SCIENCE.,Claim 2: The Criterion Claim of Framework Completeness,"using the validity types in our framework, demonstrating model validity . However, two validity types,",theory,"validity and model validity, were not used in the papers we sampled (Table 6).",
0a8d8a34-ec0a-3b37-b526-0952453e3a23,"Larsen, Kai R. ; Lukyanenko, Roman ; C. Storey, Veda ; Parsons, Jeffrey ; VanderMeer, Debra ; Hovorka, Dirk S.",2025,MISQ,VALIDITY IN DESIGN SCIENCE.,Discussion and Implications,research contributes to validity in design science that could be expanded to other applications . There are both,theoretical,and practical implications of our work.,
0a9bcf16-c0a9-3bae-8199-7dc2991f1aef,"Sarker, Suprateek ; Chatterjee, Sutirtha ; Xiao, Xiao ; Elbanna, Amany",2019,MISQ,THE SOCIOTECHNICAL AXIS OF COHESION FOR THE IS DISCIPLINE: ITS HISTORICAL LEGACY AND ITS CONTINUED RELEVANCE,Introduction,. We are aware that some scholars in IS have critiqued and contributed to further development of sociotechnical,theory,"(e.g., Winter et al . 2014). Our focus is different: we are concerned",
0a9bcf16-c0a9-3bae-8199-7dc2991f1aef,"Sarker, Suprateek ; Chatterjee, Sutirtha ; Xiao, Xiao ; Elbanna, Amany",2019,MISQ,THE SOCIOTECHNICAL AXIS OF COHESION FOR THE IS DISCIPLINE: ITS HISTORICAL LEGACY AND ITS CONTINUED RELEVANCE,Origins of the Sociotechnical Perspective and its Adoption in IS,"The ideas underlying the sociotechnical perspective have appeared in various forms: as sociotechnical systems, sociotechnical",theory,", sociotechnical approach, and sociotechnical systems theory (with and without hyphenation between the ""socio""",
0a9bcf16-c0a9-3bae-8199-7dc2991f1aef,"Sarker, Suprateek ; Chatterjee, Sutirtha ; Xiao, Xiao ; Elbanna, Amany",2019,MISQ,THE SOCIOTECHNICAL AXIS OF COHESION FOR THE IS DISCIPLINE: ITS HISTORICAL LEGACY AND ITS CONTINUED RELEVANCE,Origins of the Sociotechnical Perspective and its Adoption in IS,"appeared in various forms: as sociotechnical systems, sociotechnical theory, sociotechnical approach, and sociotechnical systems",theory,"(with and without hyphenation between the ""socio"" and the ""technical""). While",
0a9bcf16-c0a9-3bae-8199-7dc2991f1aef,"Sarker, Suprateek ; Chatterjee, Sutirtha ; Xiao, Xiao ; Elbanna, Amany",2019,MISQ,THE SOCIOTECHNICAL AXIS OF COHESION FOR THE IS DISCIPLINE: ITS HISTORICAL LEGACY AND ITS CONTINUED RELEVANCE,Disciplinary Coherence and Growth: The Need for an Axis of Cohesion,refers to the common focus of a set of researchers who might perform research in varied paradigms and/or,theoretical,"perspectives ."" A discipline presents a coherent account of the ""tools, methods, procedures,",
